change	path	owner	rule
modify	.github/workflows/harness.yml	harness-integrator	SCOPE-320
modify	Makefile	harness-integrator	SCOPE-320
modify	README.md	wave-integrator	SCOPE-320
add	docs/artifacts/wave-01-approval.md	wave-integrator	SCOPE-321
audit-only	docs/artifacts/wave-01-audit.md	independent-reviewer	SCOPE-322
add	docs/artifacts/wave-01-candidate.sha256	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-change-contract.md	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-design.md	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-evidence.md	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-grant-ladder-amendment.md	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-module-identity-decision.md	wave-integrator	SCOPE-321
add	docs/artifacts/wave-01-specification.md	wave-integrator	SCOPE-321
conditional	go.mod	harness-integrator	SCOPE-323
add	harness/control-ownership.tsv	harness-integrator	SCOPE-321
add	harness/phases.tsv	harness-integrator	SCOPE-321
add	harness/prototype-dispositions.tsv	harness-integrator	SCOPE-321
add	harness/support-matrix.tsv	harness-integrator	SCOPE-321
add	harness/wave-01-base.sha256	harness-integrator	SCOPE-321
add	harness/wave-01-paths.tsv	harness-integrator	SCOPE-321
conditional	harness/modules.lock.tsv	harness-integrator	SCOPE-323
add	internal/harness/buildcontrol/claims.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/claims_test.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/load.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/main.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/markdown.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/nlink_unix.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/ownership.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/ownership_test.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/policy.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/policy_test.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/report.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/testutil_test.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/trace.go	harness-integrator	SCOPE-321
add	internal/harness/buildcontrol/trace_test.go	harness-integrator	SCOPE-321
modify	scripts/harness/check-import-boundaries.sh	harness-integrator	SCOPE-320
